,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.05.2020,"2,8976","2,4759","3,1724","4,5699","0,1780","0,6494","0,2785","4,8425","5,4004","1,3883","4,0979","0,2491","0,4437","1,0682","0,0623","0,4592","0,6488","4,4163","0,2458","0,7757","0,6219","0,0585","0,3591","0,1903","2,7001","0,0412","0,1650","1,2023","0,6391","0,1387","246,1668","6,0297"
2,20.05.2020,"2,9035","2,4757","3,1791","4,5738","0,1764","0,6494","0,2797","4,8421","5,4205","1,3825","4,1075","0,2479","0,4428","1,0644","0,0615","0,4582","0,6525","4,4218","0,2445","0,7682","0,6224","0,0584","0,3598","0,1887","2,7051","0,0412","0,1664","1,2039","0,6391","0,1389","248,7938","6,0361"
3,19.05.2020,"2,8912","2,4744","3,1735","4,5508","0,1759","0,6492","0,2792","4,8395","5,4121","1,3783","4,1086","0,2514","0,4422","1,0625","0,0611","0,4574","0,6519","4,4192","0,2424","0,7726","0,6217","0,0584","0,3606","0,1879","2,6884","0,0412","0,1667","1,2031","0,6393","0,1385","246,6258","6,0323"
4,18.05.2020,"2,8857","2,4742","3,1830","4,6037","0,1751","0,6491","0,2829","4,8392","5,4272","1,3667","4,1744","0,2514","0,4400","1,0603","0,0614","0,4549","0,6522","4,4783","0,2421","0,7650","0,6293","0,0589","0,3628","0,1879","2,6649","0,0412","0,1685","1,2192","0,6402","0,1398","253,7705","6,0833"
5,15.05.2020,"2,8908","2,4741","3,1825","4,6018","0,1759","0,6489","0,2844","4,8390","5,4610","1,3671","4,1813","0,2512","0,4403","1,0617","0,0610","0,4555","0,6471","4,4768","0,2432","0,7704","0,6304","0,0592","0,3639","0,1874","2,6818","0,0411","0,1680","1,2189","0,6389","0,1396","249,8083","6,0874"
6,14.05.2020,"2,8872","2,4734","3,1787","4,6004","0,1754","0,6487","0,2834","4,8376","5,4709","1,3640","4,1869","0,2485","0,4398","1,0596","0,0606","0,4549","0,6421","4,4743","0,2415","0,7600","0,6306","0,0594","0,3646","0,1852","2,6826","0,0411","0,1677","1,2181","0,6388","0,1394","247,2592","6,0871"
7,13.05.2020,"2,8916","2,4720","3,1772","4,5939","0,1757","0,6485","0,2823","4,8349","5,4873","1,3682","4,1637","0,2483","0,4401","1,0592","0,0608","0,4562","0,6380","4,4578","0,2420","0,7573","0,6284","0,0592","0,3640","0,1848","2,6858","0,0411","0,1670","1,2136","0,6386","0,1390","243,9579","6,0730"
8,12.05.2020,"2,8970","2,4694","3,1858","4,5925","0,1754","0,6477","0,2827","4,8297","5,5046","1,3769","4,1514","0,2495","0,4355","1,0608","0,0608","0,4543","0,6347","4,4639","0,2430","0,7671","0,6296","0,0591","0,3645","0,1860","2,7145","0,0411","0,1667","1,2153","0,6386","0,1389","244,7235","6,0757"
9,11.05.2020,"2,9047","2,4693","3,1963","4,5901","0,1772","0,6474","0,2832","4,8295","5,5163","1,3813","4,1605","0,2498","0,4368","1,0609","0,0605","0,4558","0,6303","4,4610","0,2431","0,7781","0,6294","0,0589","0,3647","0,1879","2,7203","0,0411","0,1662","1,2145","0,6388","0,1387","243,9362","6,0758"
10,08.05.2020,"2,9048","2,4684","3,1953","4,5859","0,1769","0,6471","0,2828","4,8278","5,5143","1,3809","4,1879","0,2517","0,4356","1,0593","0,0604","0,4553","0,6262","4,4545","0,2414","0,7638","0,6295","0,0589","0,3652","0,1860","2,7289","0,0411","0,1659","1,2128","0,6387","0,1381","246,4813","6,0746"
